Ano CalendArio;Fonte Declarante;Base Legal;Tipo;Pessoa FIsica Qtd PF;Pessoa FIsica Qtd ContribuiCOes;Pessoa FIsica Total ContribuiCOes (R$);Pessoa FIsica Total DedutIvel (R$);Pessoa JurIdica Qtd PF;Pessoa JurIdica Qtd ContribuiCOes;Pessoa JurIdica Total ContribuiCOes (R$);Pessoa JurIdica Total DedutIvel (R$)
2013;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;1;1;400000;400000;187;533;72707851,78;72707851,78
2013;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;405000;405000
2013;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;1;3;45717,07;13715,12;2;2;131764,6;39529,38
2013;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;347; 4.032;227828806,2;227828806,2
2013;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;17;446;72475105,33;72475105,33
2013;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;10;95;8809865,42;8809865,42
2013;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;447;1233;40713539,36;40713539,36;1923;14736;1124485076;1124485076
2013;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;9;16;482099,58;198807,83;31;97;21303144,03;8668777,61
2013;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;35;52;2016520,63;644256,17;166;259;71809382,11;21567361,69
2013;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;917;93701;299070986,9;299070986,9
2013;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;124;1208;66062669,06;66062669,06
2012;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;53;132;19974300;19974300
2012;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;159;555;58455631,87;58455631,87
2012;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;3;6;1433000;1433000
2012;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;5;6;734205;220261,5
2012;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;345;2669;211875355;211875355
2012;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;445;1306;40019179,2;40019179,2;1927; 23.037;1116363569;1116363569
2012;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;5;10;50338,37;24795,34;12;23;18595752,62;7452781,04
2012;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;30;39;2380792,81;729650,05;231;364;98350985,13;29546886,15
